 _   _                           _        _     _     _   
libwebkit2gtk-4.1-0/kali-rolling 2.48.1-3 amd64 [upgradable from: 2.48.1-2]
libwinpr3-3/kali-rolling 3.15.0+dfsg-2.1kali1 amd64 [upgradable from: 3.15.0+dfsg-2]
libwtmpdb0/kali-rolling 0.73.0-3 amd64 [upgradable from: 0.73.0-2]
libxatracker2/kali-rolling 25.0.5-1 amd64 [upgradable from: 25.0.4-1]
libxml2-dev/kali-rolling 2.12.7+dfsg+really2.9.14-1 amd64 [upgradable from: 2.12.7+dfsg+really2.9.14-0.4]
libxml2-utils/kali-rolling 2.12.7+dfsg+really2.9.14-1 amd64 [upgradable from: 2.12.7+dfsg+really2.9.14-0.4]
libxml2/kali-rolling 2.12.7+dfsg+really2.9.14-1 amd64 [upgradable from: 2.12.7+dfsg+really2.9.14-0.4]
libxmp4/kali-rolling 4.6.2-2 amd64 [upgradable from: 4.6.2-1]
libyelp0/kali-rolling 42.2-4 amd64 [upgradable from: 42.2-3]
libzbar0t64/kali-rolling 0.23.93-8 amd64 [upgradable from: 0.23.93-7]
libzxing3/kali-rolling 2.3.0-4 amd64 [upgradable from: 2.3.0-3]
man-db/kali-rolling 2.13.1-1 amd64 [upgradable from: 2.13.0-1]
mesa-libgallium/kali-rolling 25.0.5-1 amd64 [upgradable from: 25.0.4-1]
mesa-va-drivers/kali-rolling 25.0.5-1 amd64 [upgradable from: 25.0.4-1]
mesa-vdpau-drivers/kali-rolling 25.0.5-1 amd64 [upgradable from: 25.0.4-1]
mesa-vulkan-drivers/kali-rolling 25.0.5-1 amd64 [upgradable from: 25.0.4-1]
metasploit-framework/kali-rolling 6.4.64-0kali1 amd64 [upgradable from: 6.4.56-0kali1]
ndiff/kali-rolling 7.95+dfsg-3kali1 all [upgradable from: 7.95+dfsg-1kali1]
net-tools/kali-rolling 2.10-1.3 amd64 [upgradable from: 2.10-1.1]
netexec/kali-rolling 1.4.0-0kali3 all [upgradable from: 1.3.0-0kali2]
